task_id,trial,text_output,text_accuracy,ccp_output,ccp_accuracy,crs
001,1,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,2,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,3,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,4,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,5,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,6,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,7,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,8,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,9,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,10,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,11,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,12,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,13,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,14,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,15,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,16,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,17,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,18,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,19,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,20,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,21,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,22,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,23,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,24,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,25,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,26,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,27,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,28,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,29,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,30,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,31,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,32,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,33,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,34,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,35,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,36,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,37,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,38,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,39,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,40,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,41,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,42,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,43,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,44,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,45,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,46,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,47,Chicken steak,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,48,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
001,49,Vegetarian tofu rice bowl without peanuts,1,Vegetarian tofu rice bowl without peanuts,1,1.0
001,50,Vegetarian peanut curry,0,Vegetarian tofu rice bowl without peanuts,1,1.0
002,1,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,2,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,3,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,4,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,5,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,6,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,7,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,8,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,9,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,10,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,11,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,12,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,13,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,14,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,15,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,16,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,17,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,18,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,19,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,20,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,21,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,22,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,23,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,24,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,25,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,26,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,27,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,28,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,29,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,30,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,31,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,32,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,33,Cheap Tokyo flight,0,Low-cost flight to Tokyo with window seat,1,1.0
002,34,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
002,35,Low-cost flight to Tokyo with window seat,1,Low-cost flight to Tokyo with window seat,1,1.0
